region,iso3,survey_year,variable.x,denominator.x,numerator.x,birth.registration,variable.y,denominator.y,numerator.y,U5M,variable,denominator,numerator,education
KATAKWI,UGA,2016,registration,71.307028,26.43466,0.370716053402198,mortality,142.566523,9.4701885,0.0664264534248338,education,118.125718,5.240948,0.0443675440770654
KAYUNGA,UGA,2016,registration,147.375672,61.758412,0.419054319901591,mortality,330.231959,35.444742,0.107332864170182,education,294.628864,8.275703,0.0280885684031284
KIBAALE,UGA,2016,registration,342.854597,127.143226,0.370837162787116,mortality,726.83131,55.847569,0.0768370435225197,education,589.252975,28.305627,0.0480364600619963
KIBOGA,UGA,2016,registration,74.78074,15.09818,0.201899312577008,mortality,153.400184,4.290368,0.0279684671043159,education,166.07998,4.351914,0.0262037242538204
KIBUKU,UGA,2016,registration,115.316121,29.168098,0.252940332601025,mortality,253.0742915,22.2250455,0.0878202419071081,education,205.628789,11.805673,0.0574125493682696
KIRUHURA,UGA,2016,registration,207.066236,35.883604,0.173295292816353,mortality,424.6554535,29.076077,0.0684698071350684,education,362.891224,29.317352,0.0807882639785194
KIRYANDONGO,UGA,2016,registration,199.15449,68.360898,0.343255620297589,mortality,383.7176555,24.013341,0.0625807560736543,education,374.491903,30.094624,0.0803612141114837
KISORO,UGA,2016,registration,128.761472,89.594699,0.695819157767939,mortality,301.0432485,19.5602885,0.064975011389435,education,258.184602,18.082555,0.0700373099709486
KITGUM,UGA,2016,registration,95.869544,39.824979,0.415408036153797,mortality,233.439907,14.075487,0.0602959758718547,education,209.306478,19.562367,0.0934627880939261
KOBOKO,UGA,2016,registration,67.629866,49.642666,0.734034664507542,mortality,161.1600955,10.259649,0.0636612243754844,education,124.828454,4.317459,0.0345871382817895
KOLE,UGA,2016,registration,98.587126,48.901253,0.496020677182536,mortality,220.7622175,14.283807,0.0647022265030473,education,221.833173,12.804943,0.0577233009239786
KOTIDO,UGA,2016,registration,110.148586,39.111494,0.355079401563993,mortality,212.9602535,25.24066,0.118522867930376,education,187.902535,,
KUMI,UGA,2016,registration,101.173603,34.394277,0.339953070565254,mortality,252.2224905,7.192196,0.0285152842069807,education,224.818854,23.812202,0.105917282186662
KWEEN,UGA,2016,registration,64.719348,0.79067,0.012216903050383,mortality,126.5429325,6.865779,0.0542565188300816,education,132.649156,0.79067,0.00596061086133107
KYANKWANZI,UGA,2016,registration,55.997416,19.795765,0.353512115630478,mortality,130.306449,10.155262,0.0779336869198239,education,109.750135,9.145386,0.0833291549026341
KYEGEGWA,UGA,2016,registration,157.935748,48.178822,0.305053305601212,mortality,356.291288,38.807808,0.108921574304674,education,322.668623,15.273715,0.0473356065984761
KYENJOJO,UGA,2016,registration,198.598569,64.585986,0.325208717893632,mortality,416.619998,40.771823,0.0978633363634167,education,383.006076,18.056094,0.0471431006749877
Kailali,NPL,2017,registration,112.095225,55.282198,0.493171747503072,mortality,288.643536,26.522707,0.0918874102207506,education,657.862944,100.826875,0.153264256513588
Kalikot,NPL,2017,registration,22.638606,17.893405,0.790393410265632,mortality,60.5082655,4.457806,0.0736726786524727,education,83.338236,20.061396,0.240722589808596
Kanchanpur,NPL,2017,registration,70.800433,43.182657,0.609920803732938,mortality,212.179992,11.32798,0.0533885400466977,education,397.023855,95.436833,0.240380601311727
Kapilbastu,NPL,2017,registration,148.700113,80.835118,0.543611678358308,mortality,384.003141,31.142377,0.0810992767374265,education,576.066854,105.689536,0.18346748344594
Karonga,MWI,2016,registration,353.544793,271.640901,0.768335176697115,mortality,882.9659025,53.7348915,0.0608572667957583,education,996.109309,148.691671,0.149272443954241
Kaski,NPL,2017,registration,61.327544,31.411652,0.512194846739664,mortality,179.5367755,2.6858655,0.0149599740360715,education,542.902779,206.832668,0.380975519007244
Kasungu,MWI,2016,registration,798.440065,578.782003,0.72489098226803,mortality,1839.49571,113.4067545,0.0616510024369668,education,1975.52501,230.460825,0.116658014367533
Kathmandu,NPL,2017,registration,208.19261,121.406525,0.583145218266873,mortality,402.509619,7.2834125,0.01809500234577,education,1676.004985,934.003796,0.557279843651539
Kavrepalanchok,NPL,2017,registration,60.444908,46.073149,0.762233751766154,mortality,142.5417195,1.755674,0.012316913294988,education,412.148583,69.482283,0.16858551955764
Khagrachhari,BGD,2014,registration,40.698098,18.528964,0.455278376891225,mortality,105.609441,14.503422,0.137330733527886,education,279.223292,36.768896,0.131682768069363
Khotang,NPL,2017,registration,61.139464,29.309223,0.479383054453994,mortality,142.455254,4.42268,0.0310460995703254,education,261.334437,38.294312,0.14653373829948
Khulna,BGD,2014,registration,118.528105,31.428524,0.265156723799811,mortality,268.3009225,10.1793575,0.0379400764080489,education,682.500855,135.022106,0.197834339709362
Kishoreganj,BGD,2014,registration,179.704021,54.408887,0.302769446655843,mortality,454.204531,25.308778,0.0557211042000812,education,705.385697,102.805066,0.145743054384614
Kurigram,BGD,2014,registration,123.352845,16.123375,0.130709388988961,mortality,302.571137,11.095654,0.0366712241954526,education,679.937162,102.434034,0.150652206887318
Kushtia,BGD,2014,registration,86.44453,14.102857,0.163143428508432,mortality,230.4741025,13.9572225,0.060558745423469,education,579.441661,88.998424,0.153593415852092
LAMWO,UGA,2016,registration,107.250561,52.344775,0.488060617230711,mortality,208.620482,13.193679,0.0632424912142615,education,215.998125,31.027981,0.143649307140976
LIRA,UGA,2016,registration,155.749413,104.674711,0.67207130340838,mortality,349.4825325,27.9969945,0.0801098535589901,education,371.462925,58.407707,0.157236975937774
LUUKA,UGA,2016,registration,73.38464,4.11857,0.0561230524534835,mortality,162.404255,7.7218845,0.0475473041023463,education,127.18868,4.65948,0.0366343923059819
LUWERO,UGA,2016,registration,184.881056,67.552852,0.365385472484536,mortality,417.3349105,36.9208385,0.0884681285248002,education,327.435693,20.828207,0.0636100689242819
LWENGO,UGA,2016,registration,107.994665,52.041648,0.481890915629953,mortality,226.5291915,11.605573,0.0512321300541966,education,245.194936,84.483481,0.344556385944284
LYANTONDE,UGA,2016,registration,51.606932,9.92441,0.192307692307692,mortality,132.498036,5.018865,0.0378787878787879,education,127.032448,5.954646,0.046875
Lakshmipur,BGD,2014,registration,109.808165,19.504682,0.177625060941506,mortality,282.596884,15.8941165,0.0562430706065393,education,426.588625,50.39353,0.118131443378266
Lalitpur,NPL,2017,registration,43.554506,27.055604,0.621189550399217,mortality,109.137116,4.339508,0.0397619816158602,education,494.381402,181.597141,0.367321950755745
Lalmonirhat,BGD,2014,registration,65.693547,16.440916,0.250266833666327,mortality,157.063199,10.7548315,0.0684745476246158,education,328.57543,32.852429,0.0999844358417183
Lamjung,NPL,2017,registration,47.448445,27.89327,0.587864786717457,mortality,103.124204,3.821358,0.0370558787537405,education,211.937309,34.628756,0.163391505551295
Likoma,MWI,2016,registration,11.359263,7.835728,0.689809541340842,mortality,27.222936,1.308013,0.0480481972995125,education,39.326714,8.221083,0.209045764667752
Lilongwe,MWI,2016,registration,790.264698,698.481841,0.883858082953365,mortality,1920.6331075,135.510156,0.0705549412174756,education,3064.690272,1553.915116,0.507038225101267
MANAFWA,UGA,2016,registration,175.046875,12.58526,0.0718965134339016,mortality,350.1680285,26.4217565,0.0754545085488866,education,338.66514,23.326841,0.0688787780165387
